Mon May 07 13:26:17 2012
Susp.	Infr.	Reco.	reSu
39	1	0	0
39	1	0	0
38	2	0	0
38	2	0	0
36	4	0	0
35	5	0	0
34	6	0	0
34	5	1	0
34	4	2	0
33	5	2	0
33	4	3	0
33	3	4	0
33	1	6	0
33	1	6	0
32	2	6	0
32	2	6	0
32	1	7	0
32	1	7	0
32	1	7	0
32	1	7	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
32	0	8	0
31	1	8	0
30	2	8	0
29	3	7	1
29	3	6	2
28	4	6	2
26	6	5	3
25	7	4	4
23	8	3	6
22	7	5	6
22	7	5	6
21	8	5	6
21	7	5	7
21	4	8	7
21	2	10	7
21	2	10	7
21	2	10	7
21	1	11	7
21	1	11	7
21	1	11	7
21	1	11	7
21	1	11	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	12	7
21	0	11	8
21	0	9	10
21	0	9	10
21	0	9	10
21	0	8	11
21	0	5	14
21	0	3	16
21	0	3	16
21	0	2	17
21	0	1	18
21	0	1	18
21	0	1	18
21	0	1	18
21	0	1	18
21	0	0	19
21	0	0	19
21	0	0	19
21	0	0	19
21	0	0	19
21	0	0	19
21	0	0	19
21	0	0	19
21	0	0	19
21	0	0	19
21	0	0	19
21	0	0	19
21	0	0	19
21	0	0	19
21	0	0	19
21	0	0	19
21	0	0	19
21	0	0	19
21	0	0	19
21	0	0	19
21	0	0	19
21	0	0	19
21	0	0	19
20	1	0	19
20	1	0	19
20	1	0	19
20	1	0	19
20	1	0	19
20	1	0	19
